snapshot,BECCS,Biogas,Biomass,CCGT,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore,demand
01/01/2030 00:00:00,0.0,7074.0,1590.0,0.0,4584.1171752,1364.67240397,3157.6702391999997,4205.0,1111.1475996,1461.89,0.0,0.0,3585.978062,935.292105,37777.205
01/01/2030 01:00:00,0.0,7074.0,1590.0,0.0,4688.133246,1364.67240397,3229.319466,4205.0,1136.360133,1461.89,0.0,0.0,4511.667298,1022.030206,36939.9325
01/01/2030 02:00:00,0.0,7074.0,1590.0,0.0,4972.7642364,1364.67240397,3425.3813844,4205.0,1205.3520522,1461.89,0.0,0.0,5368.594883,1124.739912,35932.3875
01/01/2030 03:00:00,0.0,7074.0,1590.0,0.0,5513.3810424,1364.67240397,3797.7736104,4205.0,1336.3925652,1461.89,0.0,0.0,5966.46127,1213.316654,35486.24
01/01/2030 04:00:00,0.0,7074.0,1590.0,0.0,7143.8694732,1364.67240397,4920.9003972,4205.0,1731.6078786,1461.89,0.0,0.0,6942.66927,1193.693186,35647.1575
01/01/2030 05:00:00,0.0,7074.0,1590.0,0.0,8559.243862199999,1364.67240397,5895.8505162,4205.0,2074.6815381,1461.89,0.0,0.0,7302.951035,1388.343415,35231.6025
01/01/2030 06:00:00,0.0,7074.0,1590.0,0.0,8215.6605516,1364.67240397,5659.1805636,4205.0,1991.4001218,1461.89,0.0,0.0,7272.200483,1597.558731,36172.13
01/01/2030 07:00:00,0.0,7074.0,1590.0,0.0,8223.0282684,1364.67240397,5664.2556564,4205.0,1993.1859882,1461.89,0.0,0.0,6910.454406,1686.245622,36829.345
01/01/2030 08:00:00,0.0,7074.0,1590.0,0.0,7882.4619108,1364.67240397,5429.6638668,4205.0,1910.6358534,1461.89,454.90815,0.0,6163.472247,1487.036919,39226.5975
01/01/2030 09:00:00,0.0,7074.0,1590.0,0.0,7564.7079522,1364.67240397,5210.7859062,4205.0,1833.6152331,1461.89,2884.82905,0.0,5224.604203,1220.179784,41005.5475
01/01/2030 10:00:00,0.0,7074.0,1590.0,0.0,7275.2180796,1364.67240397,5011.3770515999995,4205.0,1763.4455658,1461.89,5134.808504,0.0,3358.521598,1081.417463,43702.865
01/01/2030 11:00:00,0.0,7074.0,1590.0,0.0,7091.4380058,1364.67240397,4884.7841118,4205.0,1718.8989759,1461.89,6283.872794,0.0,2956.262889,797.919356,44205.64
01/01/2030 12:00:00,0.0,7074.0,1590.0,0.0,6980.6787804,1364.67240397,4808.4900084,4205.0,1692.0519642,1461.89,6145.19133,0.0,2905.378047,664.189997,43621.6725
01/01/2030 13:00:00,0.0,7074.0,1590.0,0.0,7047.4328352,1364.67240397,4854.4720992,4205.0,1708.2325296,1461.89,4870.549926,0.0,2863.096038,629.137196,43231.73
01/01/2030 14:00:00,0.0,7074.0,1590.0,0.0,7162.2570078,1364.67240397,4933.5662538,4205.0,1736.0648469,1461.89,2624.6141,0.0,2900.741059,552.329451,43691.5175
01/01/2030 15:00:00,0.0,7074.0,1590.0,6781.183523421005,7405.2858042,1364.67240397,5100.9713982,4205.0,1794.9727791,1461.89,405.261384,0.0,2892.809369,482.511931,45668.82
01/01/2030 16:00:00,0.0,7074.0,1590.0,4048.022876535996,7538.5398546,1364.67240397,5192.7605766,4205.0,1827.2723283,1461.89,0.0,0.0,2916.055322,390.808652,48732.2075
01/01/2030 17:00:00,0.0,7074.0,1590.0,12239.0,7488.7230798,1364.67240397,5158.4453658,4205.0,1815.1972029,1461.89,0.0,0.0,2612.149569,334.980055,48882.2175
01/01/2030 18:00:00,0.0,7074.0,1590.0,12239.0,7399.7811882,1364.67240397,5097.1796622,4205.0,1793.6385111,1461.89,0.0,0.0,2235.455307,294.843454,47468.39
01/01/2030 19:00:00,0.0,7074.0,1590.0,0.0,7120.961802,1364.67240397,4905.1209420000005,4205.0,1726.055271,1461.89,0.0,0.0,1896.528092,282.06617,44883.385
01/01/2030 20:00:00,0.0,7074.0,1590.0,0.0,6468.3154746,1364.67240397,4455.5595966,4205.0,1567.8598383,1461.89,0.0,0.0,1672.915447,265.331995,43222.82
01/01/2030 21:00:00,0.0,7074.0,1590.0,0.0,5428.5464412,1364.67240397,3739.3371252,4205.0,1315.8294426,1461.89,0.0,0.0,1554.123136,239.87063,42277.8525
01/01/2030 22:00:00,0.0,7074.0,1590.0,12239.0,4632.1449498,1364.67240397,3190.7531358,4205.0,1122.7890879,1461.89,0.0,0.0,1181.760797,295.902579,39092.87
01/01/2030 23:00:00,0.0,7074.0,1590.0,0.0,4340.1038994,1364.67240397,2989.5869574,4205.0,1052.0010387,1461.89,0.0,0.0,1180.540537,281.371384,36789.9525
02/01/2030 00:00:00,0.0,7074.0,1590.0,0.0,4408.4246526,1370.23522261,3036.6482346,4205.0,1068.5613573,1461.89,0.0,0.0,1247.837876,326.591785,35423.7475
02/01/2030 01:00:00,0.0,7074.0,1590.0,0.0,4529.981394,1370.23522261,3120.379974,4205.0,1098.025587,1461.89,0.0,0.0,1232.218548,375.252224,35284.1525
02/01/2030 02:00:00,0.0,7074.0,1590.0,811.6148541710006,4791.8635002,1370.23522261,3300.7718142,4205.0,1161.5033871,1461.89,0.0,0.0,1220.931143,358.399427,36058.53
02/01/2030 03:00:00,0.0,7074.0,1590.0,0.0,5346.5805918,1370.23522261,3682.8767178,4205.0,1295.9616789,1461.89,0.0,0.0,1264.494425,367.804457,37795.6425
02/01/2030 04:00:00,0.0,7074.0,1590.0,0.0,6946.7512914,1370.23522261,4785.1197894,4205.0,1683.8282547,1461.89,0.0,0.0,1406.34965,438.977657,40898.7975
02/01/2030 05:00:00,0.0,7074.0,1590.0,1114.3004499700005,8360.6436684,1370.23522261,5759.0490564,4205.0,2026.5426882,1461.89,0.0,0.0,1704.581194,469.802431,47069.3175
02/01/2030 06:00:00,0.0,7074.0,1590.0,3638.5270507500036,8027.5614714,1370.23522261,5529.6125694,4205.0,1945.8066447,1461.89,0.0,0.0,2047.718306,481.884929,52316.9275
02/01/2030 07:00:00,0.0,7074.0,1590.0,12239.0,8052.4275156,1370.23522261,5546.7410076,4205.0,1951.8339438,1461.89,0.0,0.0,2460.166186,451.01779,56230.99
02/01/2030 08:00:00,0.0,7074.0,1590.0,12239.0,7742.8987236,1370.23522261,5333.5287756,4205.0,1876.8070278,1461.89,503.656332,0.0,2878.044223,443.324306,57444.8325
