snapshot,BECCS,Biogas,Biomass,CCGT,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore,demand
01/01/2030 00:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.794324,0.0,2201.0
01/01/2030 01:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.681984,0.0,2211.0
01/01/2030 02:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.56818,0.0,2164.0
01/01/2030 03:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.49434,0.0,2152.0
01/01/2030 04:00:00,0.0,84.0,115.0,0.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.41742,0.0,2166.0
01/01/2030 05:00:00,0.0,84.0,115.0,0.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.337876,0.0,2217.0
01/01/2030 06:00:00,0.0,84.0,115.0,0.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.274724,0.0,2248.0
01/01/2030 07:00:00,0.0,84.0,115.0,0.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.087318,0.0,0.235832,0.0,2264.0
01/01/2030 08:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,25.061454,0.0,0.176592,0.0,2427.0
01/01/2030 09:00:00,0.0,84.0,115.0,0.0,0.0,0.0,0.0,2003.0,0.0,8.52,58.441878,0.0,0.10206,0.0,2463.0
01/01/2030 10:00:00,0.0,84.0,115.0,0.0,0.0,0.0,0.0,2003.0,0.0,8.52,93.561534,0.0,0.05522,0.0,2590.0
01/01/2030 11:00:00,0.0,84.0,115.0,0.0,0.0,0.0,0.0,2003.0,0.0,8.52,134.456652,0.0,0.057096,0.0,2557.0
01/01/2030 12:00:00,0.0,84.0,115.0,0.0,0.0,0.0,0.0,2003.0,0.0,8.52,164.884302,0.0,0.094116,0.0,2460.0
01/01/2030 13:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,149.077962,0.0,0.162024,0.0,2451.0
01/01/2030 14:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,86.196528,0.0,0.241432,0.0,2379.0
01/01/2030 15:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.298896,0.0,2596.0
01/01/2030 16:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.367168,0.0,2648.0
01/01/2030 17:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.520236,0.0,2663.0
01/01/2030 18:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.773548,0.0,2655.0
01/01/2030 19:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,1.038664,0.0,2656.0
01/01/2030 20:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,1.086976,0.0,2522.0
01/01/2030 21:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,1.050724,0.0,2380.0
01/01/2030 22:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.788916,0.0,2263.0
01/01/2030 23:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.69638,0.0,2196.0
02/01/2030 00:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.567116,0.0,2090.0
02/01/2030 01:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.462888,0.0,2089.0
02/01/2030 02:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.387288,0.0,2083.0
02/01/2030 03:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.286128,0.0,2208.0
02/01/2030 04:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.189212,0.0,2351.0
02/01/2030 05:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.119248,0.0,2657.0
02/01/2030 06:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.05348,0.0,2858.0
02/01/2030 07:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,3.044844,0.0,0.016952,0.0,3038.0
02/01/2030 08:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,129.626244,0.0,0.004184,0.0,3164.0
02/01/2030 09:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,213.958206,0.0,0.00462,0.0,3155.0
02/01/2030 10:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,267.84054,0.0,0.00852,0.0,3285.0
02/01/2030 11:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,278.609166,0.0,0.025592,0.0,3277.0
02/01/2030 12:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,235.927296,0.0,0.040904,0.0,3256.0
02/01/2030 13:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,157.598892,0.0,0.08108,0.0,3182.0
02/01/2030 14:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,70.301682,0.0,0.140408,0.0,3090.0
02/01/2030 15:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.221624,0.0,3262.0
02/01/2030 16:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.314044,0.0,3235.0
02/01/2030 17:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.45556,0.0,3197.0
02/01/2030 18:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.639744,0.0,3157.0
02/01/2030 19:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.791112,0.0,3082.0
02/01/2030 20:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.889152,0.0,2895.0
02/01/2030 21:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.947092,0.0,2726.0
02/01/2030 22:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.70866,0.0,2610.0
02/01/2030 23:00:00,0.0,84.0,115.0,0.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.751856,0.0,2469.0
03/01/2030 00:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.800212,0.0,2368.0
03/01/2030 01:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.815664,0.0,2369.0
03/01/2030 02:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.808016,0.0,2336.0
03/01/2030 03:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.665672,0.0,2428.0
03/01/2030 04:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.619772,0.0,2566.0
03/01/2030 05:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.574076,0.0,2853.0
03/01/2030 06:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.492972,0.0,3003.0
03/01/2030 07:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,6.862482,0.0,0.375676,0.0,3158.0
03/01/2030 08:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,158.349708,0.0,0.239612,0.0,3284.0
03/01/2030 09:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,262.559286,0.0,0.112168,0.0,3257.0
03/01/2030 10:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,320.55804,0.0,0.099424,0.0,3365.0
03/01/2030 11:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,332.218854,0.0,0.091388,0.0,3352.0
03/01/2030 12:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,302.480838,0.0,0.105592,0.0,3313.0
03/01/2030 13:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,230.10075,0.0,0.11118,0.0,3250.0
03/01/2030 14:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,122.021856,0.0,0.11704,0.0,3211.0
03/01/2030 15:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.176596,0.0,3354.0
03/01/2030 16:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.23896,0.0,3313.0
03/01/2030 17:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.2989,0.0,3279.0
03/01/2030 18:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.390248,0.0,3244.0
03/01/2030 19:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.548788,0.0,3146.0
03/01/2030 20:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.724288,0.0,2962.0
03/01/2030 21:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.8745,0.0,2782.0
03/01/2030 22:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.890404,0.0,2658.0
03/01/2030 23:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.878468,0.0,2546.0
04/01/2030 00:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.898852,0.0,2445.0
04/01/2030 01:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.905348,0.0,2458.0
04/01/2030 02:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.928304,0.0,2458.0
04/01/2030 03:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.954372,0.0,2527.0
04/01/2030 04:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.917904,0.0,2637.0
04/01/2030 05:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.871308,0.0,2925.0
04/01/2030 06:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.76868,0.0,3085.0
04/01/2030 07:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,4.049298,0.0,0.708308,0.0,3219.0
04/01/2030 08:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,107.554392,0.0,0.596444,0.0,3345.0
04/01/2030 09:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,163.348218,0.0,0.420816,0.0,3294.0
04/01/2030 10:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,172.653822,0.0,0.281796,0.0,3378.0
04/01/2030 11:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,152.227944,0.0,0.285036,0.0,3362.0
04/01/2030 12:00:00,0.0,84.0,115.0,0.0,0.0,0.0,0.0,2003.0,0.0,8.52,116.871876,0.0,0.290508,0.0,3321.0
04/01/2030 13:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,84.308796,0.0,0.268468,0.0,3259.0
04/01/2030 14:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,44.089056,0.0,0.246064,0.0,3212.0
04/01/2030 15:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.302576,0.0,3383.0
04/01/2030 16:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.369588,0.0,3358.0
04/01/2030 17:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.440944,0.0,3333.0
04/01/2030 18:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.485688,0.0,3304.0
04/01/2030 19:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.515912,0.0,3176.0
04/01/2030 20:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.544976,0.0,2986.0
04/01/2030 21:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.620464,0.0,2823.0
04/01/2030 22:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.451008,0.0,2688.0
04/01/2030 23:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.45882,0.0,2565.0
05/01/2030 00:00:00,0.0,84.0,115.0,570.0,0.0,0.0,0.0,2003.0,0.0,8.52,0.0,0.0,0.486524,0.0,2434.0
