snapshot,Austria,Belgium,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Norway,Switzerland,UK
01/01/2030 00:00:00,10806.3285,13466.607,5928.7173,2064.9409,7847.7355,8075.4014,1100.9702,13749.043,85067.4,78845.525,7825.5826,7648.3561,6559.4166,28302.098,926.30307,1656.2392,20213.171,18814.488,6931.8304,7976.0802,3189.4423,1492.2743,27826.59,27550.237,23353.627,7883.4448,42482.79152
01/01/2030 01:00:00,10803.1704,13077.647,5784.0464,2040.9884,7833.5939,7940.7559,1075.15133,13727.593,82531.9,76185.945,7545.2432,7424.0518,6424.8657,25267.902,832.65226,1606.3476,20046.653,18581.354,6507.3393,7959.9938,3383.7826,1468.9499,26517.656,28262.553,23821.776,7476.4668,41428.43796
01/01/2030 02:00:00,10717.0866,12697.036,5685.9,2025.0395,7727.1073,7835.2912,1078.36817,13888.93,79821.5,75227.669,7350.6191,7122.7849,6311.4414,23856.305,796.20662,1646.0114,19374.124,18508.897,6041.8303,8048.2006,3278.4235,1455.5398,25278.341,28270.187,23699.533,7447.7238,39994.48697
01/01/2030 03:00:00,10788.6636,12478.334,5635.2505,2011.0464,7639.1854,7843.5962,1076.84335,14133.702,76858.1,76502.8,7546.418,6919.8536,6093.4654,23148.598,738.2551,1751.5212,18911.431,19096.264,5855.0602,8293.3136,3314.7818,1463.66,23880.087,28447.188,23652.596,7319.2152,38707.69286
01/01/2030 04:00:00,10803.3574,12745.117,5516.4021,1982.046,7454.3568,7889.1791,1124.6312,14699.179,74595.4,80907.277,8109.1923,6870.0423,5921.4661,23076.174,685.34543,1881.946,18515.046,18328.343,5796.3312,8786.1015,3586.8393,1567.203,22800.932,29346.559,23731.081,7607.4768,37828.76799
01/01/2030 05:00:00,11781.033,13867.051,5183.6587,2004.8611,8113.1908,8815.5276,1235.2461,15160.035,75333.5,85864.13,9042.5918,7006.736,5825.9828,25156.571,694.02641,1992.4993,18532.173,21048.423,5737.7584,9344.9378,3972.0505,1769.2653,21455.753,31096.406,24381.852,8068.8828,38071.66645
01/01/2030 06:00:00,12849.485,14718.198,5034.2545,2060.7257,8513.1684,9919.4381,1352.9967,15567.618,76368.6,90220.339,9699.5525,7526.266,5740.5381,28698.615,787.25064,2057.0242,18639.852,21790.78,5623.8743,9684.7421,3837.3181,1858.8669,21539.21,33233.75,26130.093,8589.6778,39776.51703
01/01/2030 07:00:00,13333.298,14950.254,4914.0707,2132.6712,8706.1359,10691.01,1428.7482,15612.74,77942.7,94114.053,10727.1978,8028.4534,5899.9061,31504.0,913.48301,2133.5193,19700.483,23257.597,5505.7981,9810.5018,3940.1307,1938.4343,23512.104,34250.073,27288.272,9147.1853,42405.30646
01/01/2030 08:00:00,13394.04,14914.075,4894.3587,2186.5041,9076.5664,10680.2058,1453.0351,15687.232,79830.3,93159.088,11180.213,8400.5229,6028.8525,34469.369,1034.86834,2226.8499,21139.866,24587.816,5707.4435,9763.7518,3993.7359,2001.9736,26498.109,34663.882,27622.672,9318.0043,46475.61139
01/01/2030 09:00:00,13368.861,15009.874,4874.0197,2195.7661,9165.6455,10334.4989,1454.2132,15710.926,82272.3,92682.942,11292.006,8744.9483,6278.2181,37056.096,1099.9549,2274.1279,21306.912,25531.737,6169.9,9671.585,4079.7691,2168.0868,29484.444,34860.221,27856.554,9453.1514,50661.73241
01/01/2030 10:00:00,13382.325,15223.78,4827.4435,2208.1059,9121.3936,9887.0266,1443.7544,15676.375,84165.4,96078.312,11297.473,8913.7598,6424.7403,38863.88,1120.0673,2285.6064,21634.899,25673.362,6608.2082,9624.5468,4108.5099,2257.8743,31101.202,34215.467,27751.163,9368.3524,53380.22425
01/01/2030 11:00:00,13355.001,15054.05,4711.0393,2197.2775,9182.3919,9484.0691,1463.7249,15608.208,85945.2,96788.065,11236.071,9058.4373,6506.6793,37844.774,1103.8654,2260.2668,21602.262,25544.178,7078.7266,9579.174,4096.9467,2265.5292,31475.18,33708.07,27558.454,9176.211,54839.07814
01/01/2030 12:00:00,13252.954,15008.576,4634.7554,2169.4409,9255.3758,9359.2708,1467.8411,15617.69,83021.4,95836.4,10794.9578,9081.0797,6560.3208,35340.668,1107.5823,2238.5121,21744.888,25407.283,7691.563,9473.2473,4011.073,2236.9028,31794.741,33544.456,27507.095,8962.9012,55544.5386
01/01/2030 13:00:00,13040.896,14826.273,4644.079,2145.3993,9210.7774,9388.5363,1484.0837,15868.083,80440.8,94543.152,10800.3731,8972.7253,6564.7483,34621.323,1135.0834,2234.5477,22084.403,24910.358,7220.0854,9459.1332,4044.5724,2171.2889,31761.884,33996.556,27647.488,8760.1338,55379.40321
01/01/2030 14:00:00,12963.533,14996.102,4833.0865,2133.4962,9351.6137,9493.5819,1555.8257,16198.743,79383.7,94666.924,10821.9947,8926.544,6540.1611,34694.044,1183.8541,2363.1454,21854.074,24733.599,6728.5273,9624.1167,4262.1491,2149.2944,30676.899,35362.646,28008.981,8709.6394,55034.69472
01/01/2030 15:00:00,12987.832,15353.151,5321.3688,2169.222,9522.92,10047.5705,1595.2442,16222.921,79928.2,97206.219,11325.116,9013.9247,6464.2974,36258.882,1223.5498,2484.7768,22468.985,25560.799,6555.9428,10094.7924,4640.9495,2164.2588,29798.527,36596.978,28534.462,8980.3505,55794.42728
01/01/2030 16:00:00,13013.528,16412.341,5501.8172,2233.0528,9772.3604,10635.6756,1608.9502,16195.828,84598.8,101712.226,11995.588,9350.693,6664.0959,40715.081,1084.28001,2443.8931,22633.402,25411.958,6608.5789,10411.1953,4357.5477,2230.1114,29967.531,36811.39,28789.299,9455.9883,57972.99643
01/01/2030 17:00:00,13042.513,16937.602,5383.8565,2243.8834,9633.0564,10640.1702,1593.2697,16146.845,87523.7,102505.26,11976.415,9533.2743,6952.2145,41307.178,1079.90905,2381.5902,24395.316,25114.903,7229.09,10443.7267,4209.4184,2303.1668,31866.736,36426.434,28876.837,9476.7926,59655.50829
01/01/2030 18:00:00,13043.371,16499.45,5213.3257,2255.1463,9505.2617,10589.8683,1553.5542,15915.966,86359.9,100326.149,11775.291,9405.4213,6956.0491,41690.407,1092.25215,2308.5854,25354.857,24970.638,7841.8076,10176.3937,4121.5922,2345.7874,34257.927,35846.624,28937.007,9244.8224,59582.2298
01/01/2030 19:00:00,12478.4,15683.745,5086.3164,2255.5797,9307.5829,10455.1744,1533.4627,15609.979,84580.1,94649.401,11111.441,9306.1122,6960.3369,41129.693,1129.3018,2193.5969,25276.68,24199.67,7953.099,9625.3971,3956.7209,2237.7399,35777.225,34998.304,28851.13,9115.7473,57801.02078
01/01/2030 20:00:00,11989.989,14749.79,5247.1001,2259.5848,8920.2938,10104.9069,1471.1235,15863.925,83257.9,88411.62,10253.7523,9081.3811,6835.598,40980.148,1129.37,2069.8051,24668.061,22960.344,7559.9491,9007.306,3817.6171,2091.7622,36688.41,33982.828,28692.103,8965.6237,54574.00556
01/01/2030 21:00:00,11924.451,14764.134,5608.5645,2222.0209,8647.5235,9648.4927,1387.6126,15736.93,86931.9,82683.623,9655.0201,8796.9618,6701.2,37842.948,1083.13612,1969.9471,23747.878,21792.43,7064.1461,8539.4573,3643.7313,1939.5376,35589.642,32739.234,28211.909,9056.8632,50855.48347
01/01/2030 22:00:00,11366.608,14488.463,5537.752,2151.2766,8361.056,9304.1542,1306.0058,15430.272,87153.0,77187.385,8724.2144,8465.3052,6544.1871,34855.469,999.74732,1906.9017,22805.299,20088.189,7467.5007,8232.851,3553.5137,1786.6618,32476.455,32112.817,27620.219,8845.6533,46762.34599
01/01/2030 23:00:00,10570.6161,16747.115,5510.274,2089.3807,8008.8657,8881.6772,1256.3023,15197.688,84674.7,73010.586,8024.7959,8207.8128,6758.3549,31890.793,897.8651,1863.0975,22088.011,22162.987,7351.8401,8058.0753,3410.7788,1689.963,31234.313,31329.023,26780.314,8688.0145,43348.91012
02/01/2030 00:00:00,10564.598,16414.695,5890.5396,2130.0103,8864.1498,9002.7531,1277.7842,15712.213,85376.5,78715.318,7954.1253,8446.306,6641.8385,34881.891,880.88,1919.1139,20718.379,21622.722,7336.3818,7199.6694,3594.8451,1612.1897,26976.708,30812.034,26953.982,8755.7382,40579.87357
02/01/2030 01:00:00,10539.0461,16045.48,5835.4483,2099.6041,8791.9568,8859.5573,1260.8607,15758.941,83145.7,76053.197,7655.0485,8126.811,6481.0163,31359.119,836.40854,1897.4967,20092.534,21184.141,6910.1098,7123.8244,3702.6935,1573.1969,25677.795,30839.919,26627.26,8639.4517,39577.95219
