snapshot,BECCS,Biogas,Biomass,CCGT,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore
01/01/2030 00:00:00,0.0,28.35,69.2874,44708.609511336996,18194.002164160003,10026.850118236,19072.641126,109738.59,5103.763269633,8451.49352,0.0,0.0,39287.1767137,5994.342410832
01/01/2030 01:00:00,0.0,28.35,69.2874,32623.45722671,17432.567847305,10026.850118236,19174.333906,109738.59,5263.430020293999,8451.49352,0.0,0.0,39615.777023991,6152.087418179
01/01/2030 02:00:00,0.0,28.125,68.7375,13937.513103028003,17332.808991661,10026.850118236,19466.710555,109738.59,5728.168727476,8451.49352,0.0,0.0,39905.312777913,6302.830220195
01/01/2030 03:00:00,0.0,27.675,67.6377,14587.85914993,17231.628526907003,10026.850118236,19994.482275,109738.59,6793.927189756,8451.49352,0.0,0.0,40394.622589133,6445.278999201
01/01/2030 04:00:00,0.0,27.675,67.6377,11360.263258492,18036.266942935003,10026.850118236,21699.915839,109738.59,8931.989871220001,8451.49352,0.0,0.0,41350.46312197,6512.762249185
01/01/2030 05:00:00,0.0,27.675,67.6377,7660.614396948997,19895.70892567,10026.850118236,23333.63597,109738.59,10407.339730074,8451.49352,0.0,0.0,41919.425886687,6668.18919188
01/01/2030 06:00:00,0.0,27.9,68.1876,12927.335930075975,19659.69101221,10026.850118236,22908.164240000002,109738.59,10112.51014111,8451.49352,36.667469846,0.0,42214.257434513,6713.704233649
01/01/2030 07:00:00,0.0,27.675,67.6377,13076.208714879987,19995.14350810199,10026.850118236,22867.032059,109738.59,9840.11149856,8451.49352,2878.470785376,0.0,42055.272885414,6603.995661405001
01/01/2030 08:00:00,0.0,29.925,73.1367,19465.946406131014,18689.451389610003,10026.850118236,22491.983917999998,109738.59,9342.213809922,8451.49352,11971.534846739,0.0,41095.177298163,6215.7597619299995
01/01/2030 09:00:00,0.0,30.825,75.3363,18791.498852799,18855.91336131,10026.850118236,21849.8134925,109738.59,8876.210051016,8451.49352,27392.601673967,0.0,39591.083159103,5861.370935166
01/01/2030 10:00:00,0.0,44.55,108.8802,20567.478408247996,19667.044882211012,10026.850118236,20876.726403880002,109738.59,8503.799460638,8451.49352,42950.479962179,0.0,36927.399426617,5635.266738660001
